YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1990,4,27,97.63,2.98,4.31,0.7,3.61,155.31,4.49,8.52,0.55,7.96,154.5
1990,4,28,97.79,6.33,8.19,2.38,5.81,279.19,8.3,9.99,3.56,6.43,264.38
1990,4,29,98.01,6.15,8.33,4.08,4.25,100.69,8.33,9.62,7.08,2.54,101.0
1990,4,30,97.86,4.57,6.15,3.25,2.9,126.31,6.7,8.58,5.31,3.27,126.31
1990,5,1,97.89,6.05,7.66,4.16,3.49,97.88,8.13,9.23,6.31,2.92,97.94
1990,5,2,97.99,6.66,7.95,4.34,3.61,13.56,8.62,10.33,7.96,2.38,13.88
1990,5,3,97.97,5.79,7.95,3.35,4.59,114.75,7.61,9.33,6.48,2.85,114.81
1990,5,4,97.98,5.16,7.22,3.37,3.85,31.31,7.24,8.7,6.28,2.41,31.38
1990,5,5,98.02,5.66,7.38,3.13,4.24,90.0,7.55,8.84,6.29,2.55,90.19
1990,5,6,97.97,4.98,8.85,3.16,5.7,106.25,6.48,10.88,4.55,6.34,121.25
1990,5,7,97.86,4.88,10.98,1.92,9.05,92.0,6.09,12.78,1.87,10.91,92.44
1990,5,8,97.46,4.05,5.63,2.61,3.02,139.38,6.09,10.21,4.19,6.02,140.5
1990,5,9,97.3,5.27,7.97,2.02,5.95,263.69,7.1,10.2,3.1,7.09,263.38
1990,5,10,97.66,6.33,7.66,4.34,3.31,244.19,8.3,9.62,6.91,2.71,244.12
1990,5,11,97.89,4.97,8.05,3.05,4.99,231.62,7.26,9.3,4.63,4.67,231.25
1990,5,12,97.97,3.78,4.96,2.85,2.11,69.56,5.39,6.91,4.21,2.7,69.25
1990,5,13,97.61,2.51,3.52,0.46,3.06,49.44,3.74,6.72,0.38,6.33,49.38
1990,5,14,97.16,4.36,6.33,2.95,3.38,200.88,6.52,11.17,3.48,7.7,201.44
1990,5,15,97.45,5.63,7.21,3.55,3.66,336.0,7.9,10.18,6.8,3.39,336.19
1990,5,16,97.73,3.42,4.41,2.55,1.87,115.06,5.1,8.59,2.83,5.77,114.62
1990,5,17,97.7,3.23,4.1,2.1,2.0,191.94,4.48,6.27,3.06,3.21,175.75
1990,5,18,97.74,3.02,4.16,0.74,3.41,200.06,4.75,7.62,0.86,6.77,199.38
1990,5,19,97.84,4.94,5.73,3.84,1.89,208.06,7.34,9.68,5.45,4.23,193.44
1990,5,20,97.9,5.97,7.27,3.48,3.78,195.81,8.28,10.43,6.22,4.21,196.06
1990,5,21,97.82,5.08,6.02,3.8,2.21,224.0,7.48,10.05,5.5,4.55,223.81
1990,5,22,97.88,5.59,6.81,3.82,2.99,197.56,7.96,10.45,6.57,3.88,197.94
1990,5,23,97.93,5.59,6.81,4.05,2.77,196.62,7.95,10.39,5.73,4.66,196.81
1990,5,24,97.94,4.84,5.84,3.26,2.58,225.56,6.96,9.27,5.87,3.41,225.75
1990,5,25,97.81,4.73,5.81,3.58,2.23,181.5,7.06,9.04,4.8,4.24,181.88
1990,5,26,97.67,5.16,6.68,3.88,2.8,186.12,7.81,9.16,6.38,2.77,186.5
1990,5,27,97.58,4.77,5.85,3.51,2.34,244.88,7.11,9.69,5.0,4.69,244.88
1990,5,28,97.64,4.48,6.29,3.37,2.92,266.38,6.92,9.73,4.21,5.52,266.56
1990,5,29,97.7,6.41,7.22,4.66,2.56,16.5,9.27,11.34,6.98,4.36,17.19
1990,5,30,97.45,4.66,7.36,2.23,5.12,65.12,6.9,10.56,3.7,6.87,65.94
1990,5,31,97.27,3.95,5.86,2.98,2.88,182.0,5.7,7.32,4.12,3.2,181.81
1990,6,1,97.53,6.63,8.29,3.71,4.58,328.19,8.77,11.01,6.64,4.37,328.31
1990,6,2,97.92,6.16,7.74,4.16,3.59,274.25,8.23,9.09,6.62,2.48,259.25
1990,6,3,98.06,5.2,6.46,3.81,2.65,27.31,7.3,8.98,5.71,3.27,27.44
1990,6,4,98.09,4.99,6.03,3.57,2.45,126.38,7.11,8.91,5.92,2.98,126.38
1990,6,5,98.03,5.89,8.65,3.62,5.02,57.06,8.6,10.4,6.13,4.27,57.38
1990,6,6,97.83,5.77,8.25,3.94,4.31,68.06,8.52,10.38,6.66,3.71,68.62
1990,6,7,97.73,4.59,5.68,3.29,2.38,206.69,6.73,10.32,4.61,5.71,206.75
1990,6,8,97.66,4.19,5.26,3.5,1.76,234.62,6.24,8.6,4.41,4.19,234.44
1990,6,9,97.67,5.08,6.67,3.78,2.89,67.06,7.73,9.3,5.66,3.64,67.12
1990,6,10,97.7,5.48,6.95,3.65,3.3,70.25,8.03,10.1,6.25,3.85,70.5
1990,6,11,97.66,4.8,6.55,3.22,3.33,209.44,7.24,9.91,3.86,6.05,208.94
1990,6,12,97.6,5.55,7.65,4.11,3.53,238.0,8.2,9.81,5.87,3.95,237.88
1990,6,13,97.52,5.29,6.93,3.23,3.7,193.81,7.73,10.63,5.31,5.31,179.12
1990,6,14,97.54,5.69,7.95,3.62,4.32,97.69,8.14,9.8,6.09,3.72,98.25
1990,6,15,97.58,4.55,7.52,2.84,4.68,270.62,6.45,11.16,3.47,7.7,270.5
1990,6,16,97.91,6.3,8.87,3.93,4.94,17.75,8.6,10.24,7.52,2.72,18.12
1990,6,17,97.76,4.35,7.34,1.61,5.73,176.62,6.43,10.8,1.71,9.09,176.62
1990,6,18,97.9,5.28,7.23,4.05,3.19,207.94,7.54,9.16,5.53,3.62,207.69
1990,6,19,97.99,5.38,7.88,3.84,4.04,252.5,7.77,8.9,6.27,2.62,252.12
1990,6,20,97.87,6.37,8.18,4.45,3.73,221.56,8.73,9.98,6.93,3.05,221.56
1990,6,21,97.65,5.22,6.5,3.69,2.81,206.81,7.35,9.58,5.96,3.62,177.25
1990,6,22,97.57,5.45,7.18,3.46,3.71,201.31,7.82,9.71,6.71,3.0,201.62
1990,6,23,97.62,5.51,7.2,3.59,3.6,221.38,7.81,10.52,5.78,4.73,221.81
1990,6,24,97.56,5.62,7.21,3.48,3.74,224.62,7.77,10.92,6.2,4.73,224.81
1990,6,25,97.35,4.08,5.49,3.0,2.5,194.25,5.88,8.58,4.24,4.34,194.31
1990,6,26,97.2,4.65,6.38,3.02,3.36,153.44,6.77,9.32,5.02,4.31,138.75
1990,6,27,97.27,4.97,6.09,3.37,2.73,227.69,6.99,9.85,5.31,4.54,227.56
1990,6,28,97.36,4.8,6.54,3.72,2.81,265.81,7.0,8.71,5.09,3.63,265.69
1990,6,29,97.43,5.49,6.43,4.37,2.06,280.62,7.8,9.74,5.52,4.23,280.75
1990,6,30,97.45,4.9,6.2,3.59,2.62,341.31,7.02,9.2,5.8,3.41,341.38
1990,7,1,97.46,4.83,7.1,3.48,3.62,289.88,7.13,8.48,4.99,3.49,289.62
1990,7,2,97.35,3.55,4.46,2.6,1.86,286.75,5.08,7.87,3.51,4.36,286.38
1990,7,3,97.46,3.23,4.59,2.65,1.94,259.44,4.5,5.94,2.88,3.05,259.0
1990,7,4,97.49,3.52,5.05,2.56,2.49,261.5,4.78,5.84,3.19,2.66,261.44
1990,7,5,97.33,3.04,4.22,2.31,1.91,246.88,4.14,5.64,2.73,2.91,261.56
1990,7,6,97.26,3.11,4.2,2.23,1.98,189.31,4.41,5.89,2.3,3.59,188.88
1990,7,7,97.25,2.56,3.08,2.2,0.88,197.31,3.38,4.52,2.34,2.18,197.69
1990,7,8,97.28,3.29,4.48,2.5,1.98,217.69,4.79,7.73,2.55,5.19,217.38
1990,7,9,97.39,4.13,5.27,3.17,2.09,248.06,6.12,8.78,4.25,4.53,248.06
1990,7,10,97.47,5.18,6.8,3.59,3.2,114.62,7.31,8.96,5.48,3.48,114.38
1990,7,11,97.57,4.36,5.44,3.16,2.27,102.88,6.32,9.2,4.72,4.48,102.25
1990,7,12,97.6,5.62,8.08,3.19,4.89,179.69,7.97,9.47,5.81,3.66,179.5
1990,7,13,97.39,5.31,8.12,3.28,4.84,222.88,7.51,9.05,5.65,3.41,222.62
